
地球の自転が1回転するのにかかる時間は？,24時間,12時間,30時間,36時間,24時間
日本の国鳥は？,ツバメ,キジ,ウグイス,カモ,キジ
最も多く話されている言語は？,英語,中国語,スペイン語,アラビア語,中国語
太陽系で一番大きな惑星は？,地球,火星,木星,土星,木星
人間の体の中で一番大きな臓器は？,心臓,肝臓,腎臓,肺,肝臓
世界で最も高い山は？,エベレスト,K2,カンチェンジュンガ,ローツェ,エベレスト
日本の初代首相は？,伊藤博文,大隈重信,山縣有朋,井上馨,伊藤博文
最も古い木造建築は？,法隆寺,金閣寺,東大寺,薬師寺,法隆寺
エベレストの高さは？,8848メートル,8000メートル,9000メートル,8500メートル,8848メートル
月の表面温度は最も高い時で？,100度,50度,120度,-150度,120度
ファイナルファンタジーシリーズの初代作品は？,FF1,FF7,FF10,FF15,FF1
ドラゴンクエストの主人公は通常どのような職業？,勇者,魔法使い,盗賊,戦士,勇者
ゼルダの伝説でリンクの武器は？,弓矢,剣,槍,ハンマー,剣
スーパーマリオで最初に登場する敵キャラは？,クリボー,ノコノコ,ボス,テレサ,クリボー
ポケモンの最初の151匹はどの世代？,第一世代,第二世代,第三世代,第四世代,第一世代
モンスターエナジーのモンスターは？,怪物,魔獣,魔物,魔神,怪物
RPGにおけるHPとは何の略？,ハートポイント,ヒットポイント,ヘルスポイント,ヒューマンポイント,ヒットポイント
テイルズシリーズでの魔法を使うキャラクターは？,リオン,ロイド,ユーリ,ジュード,ユーリ
モンスターハンターでの狩猟対象は？,モンスター,獣,魔物,鬼,モンスター
ファイナルファンタジーのクリスタルの役割は？,力の源,装備品,魔法の源,防具,力の源
シミュレーションRPGに特有の要素は？,資源管理,キャラクター育成,ターン制バトル,ダンジョン探索,ターン制バトル
ファイナルファンタジー7の主人公の名前は？,クラウド,ティファ,セフィロス,エアリス,クラウド
ドラゴンクエストのスライムの色は？,青,緑,黄色,青紫,青
アトリエシリーズの特徴は？,調合,戦闘,冒険,探検,調合
スカイリムの舞台は？,ハイロック,バルグルフ,スカイリム,エルスウェーア,スカイリム
ポケモンの進化は何によって行われる？,レベルアップ,特定のアイテム,進化石,トレード,レベルアップ
ファイナルファンタジーに登場する有名な召喚獣は？,イフリート,シヴァ,ラムウ,オーディン,イフリート
ドラクエでのスキルポイントの役割は？,レベルアップ時の獲得ポイント,装備強化,魔法習得,スキルの習得,スキルの習得
テイルズオブシリーズに登場する大剣の使い手は？,クラトス,ユーリ,ロイド,ジュード,ロイド
モンスターエナジーのテーマは？,冒険,挑戦,エナジー,成長,エナジー
テーブルトークRPGで使用するサイコロは？,6面体,20面体,10面体,4面体,20面体
エルフの特徴は？,長寿,魔法,戦闘能力,鋭い耳,長寿
ドラゴンクエストのバトルシステムは？,ターン制,リアルタイム,アクション,ストラテジー,ターン制
ゼルダの伝説においてリンクが身に着ける帽子の色は？,青,緑,赤,白,緑
FFシリーズで最初に登場したキャラクターは？,セフィロス,クラウド,ティファ,バルバリシア,バルバリシア
ポケモンの最初のリーダーは？,カスミ,タケシ,シゲル,オーキド,タケシ
バイオハザードシリーズの代表的な生物兵器は？,Tウィルス,Gウィルス,レッドクイーン,エイダ,Tウィルス
アークザラッドの戦闘スタイルは？,ターン制バトル,リアルタイムバトル,アクションバトル,ストラテジーバトル,ターン制バトル
ファイナルファンタジーに登場する「チョコボ」は何の動物？,馬,鳥,犬,猫,鳥
スプラトゥーンの舞台は？,インクランド,ネオトーキョー,スプラタウン,イカの世界,インクランド
テイルズオブシリーズで「過去」と「未来」をテーマにした作品は？,テイルズオブデスティニー,テイルズオブシンフォニア,テイルズオブエクシリア,テイルズオブヴェスペリア,テイルズオブエクシリア
モンスターエナジーに登場するキャラクターは？,ドラゴン,魔女,戦士,怪物,ドラゴン
エルダースクロールの主人公は？,ドラゴンボーン,タムリエル,ウルフ,ノルド,ドラゴンボーン
ディズニーとコラボしたRPGは？,キングダムハーツ,ファイナルファンタジー,ゼルダの伝説,ドラクエ,キングダムハーツ
FFシリーズに登場する「召喚士」の役割は？,仲間を召喚する,アイテムを作る,武器を鍛える,ダンジョンを探索する,仲間を召喚する
ドラゴンクエストの有名なキャラクターは？,ピエール,アリーナ,トンヌラ,マーニャ,アリーナ
スカイリムのドラゴンの名前は？,アルドゥイン,パーサーナックス,デルフィン,ミラク,アルドゥイン
テーブルトークRPGでのキャラクター作成で重要な要素は？,能力値,職業,スキル,武器,能力値
